iter	Logloss
0	0.6182667213
1	0.5539917029
2	0.4978795109
3	0.4482929568
4	0.4069306201
5	0.3707712353
6	0.3388885276
7	0.3101358782
8	0.2853515203
9	0.2641343005
10	0.2445696687
11	0.2257224532
12	0.2102758296
13	0.1957925594
14	0.1835422797
15	0.1716840075
16	0.161137179
17	0.1511290718
18	0.1416068444
19	0.1330016836
20	0.1257228827
21	0.1191633566
22	0.1126182813
23	0.1065915232
24	0.100799223
25	0.09590485498
26	0.09139750389
27	0.08707761832
28	0.08319026231
29	0.07965085903
30	0.07631647053
31	0.0730720599
32	0.06970358566
33	0.06700210363
34	0.06416179098
35	0.06184998158
36	0.05939695602
37	0.05719106213
38	0.05528087492
39	0.05350310037
40	0.05190666474
41	0.05024810782
42	0.04877252572
43	0.04738137293
44	0.04610682365
45	0.04483724039
46	0.0438791369
47	0.04262505888
48	0.04148157029
49	0.04048147848
50	0.03935678238
51	0.0382741
52	0.03740459822
53	0.03648453754
54	0.03569593835
55	0.03492750162
56	0.03417970788
57	0.03362026042
58	0.03290353942
59	0.0323186297
60	0.03176200685
61	0.0312680859
62	0.03057068266
63	0.02993909522
64	0.0294413891
65	0.02904005855
66	0.02857243846
67	0.02810357022
68	0.02753096127
69	0.02701619527
70	0.02663059368
71	0.02622796886
72	0.02576268901
73	0.02535031595
74	0.02491866059
75	0.02451602865
76	0.02419786147
77	0.02379210463
78	0.02339330852
79	0.02302125835
80	0.0226512863
81	0.02223829782
82	0.02194943451
83	0.0215988117
84	0.02126507645
85	0.02092887244
86	0.02054282196
87	0.02024911162
88	0.02004289621
89	0.01979953367
90	0.01960628998
91	0.01931411838
92	0.019127825
93	0.01889086399
94	0.01873643079
95	0.01849814052
96	0.01831807274
97	0.01793981274
98	0.01780869039
99	0.01758816
