TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
TRBL11;99,21;0,720000;9,75;95,67;1,04;881.976,81;1,17;10,69;-0,84;611.826.192,41;62.727,00;Ativa;6.395.050,00
TRNT11;127,01;0,420000;3,86;196,71;0,65;45.875,32;0,64;-3,32;-11,16;774.145.777,37;695,00;Passiva;3.935.562,00
TRXB11;132,51;0,920000;8,38;107,47;1,23;807,96;0,58;5,75;5,14;307.459.012,43;193,00;Passiva;2.860.950,00
TRXF11;112,49;0,900000;9,51;102,72;1,10;4.788.644,51;1,41;9,50;3,52;1.363.034.036,05;106.264,00;Ativa;13.269.951,00
TSER11;102,00;0,920000;11,10;100,31;1,02;1.168,00;6,57;;;128.881.470,16;32,00;Ativa;1.284.884,00
TSNC11;0,00;0,625958;0,00;92,27;;;7,65;-23,66;;100.274.250,02;66,00;Ativa;1.086.780,00
TSNM11;0,00;;0,00;;;;;;;;;;3.500.000,00
URPR11;93,44;1,160000;15,97;101,98;0,92;2.261.159,05;6,62;-16,67;-4,59;1.190.606.675,92;93.145,00;Ativa;11.675.248,00
VCJR11;93,00;0,550000;10,39;96,94;0,96;1.961.008,76;3,50;-0,95;-3,27;1.427.404.873,79;22.528,00;Ativa;14.723.970,00
VCRI11;8,41;0,085000;15,87;9,62;0,87;301.853,43;5,06;;;171.043.549,35;11.995,00;Ativa;17.773.297,00
VCRR11;76,40;0,690000;10,71;128,25;0,60;285.467,24;2,78;;;256.499.761,16;4.019,00;Ativa;2.000.000,00
VDSV11;0,00;;0,00;986,72;;;21,24;;;19.772.791,12;77,00;Ativa;20.039,00
VERE11;233,49;2,400000;14,28;363,74;0,64;;0,91;4,15;;208.668.915,14;53,00;Ativa;573.674,00
VGHF11;9,64;0,120000;13,07;9,36;1,03;3.389.469,95;12,75;;;881.632.477,96;291.930,00;Ativa;94.187.891,00
VGIP11;88,60;0,640000;10,97;93,06;0,95;1.941.664,89;5,00;-8,84;-3,73;1.096.925.435,59;87.787,00;Ativa;11.787.247,00
VGIR11;9,70;0,130000;15,36;9,63;1,01;4.698.083,14;5,50;34,67;4,17;994.190.791,50;219.839,00;Ativa;103.220.707,00
VIDS11;0,00;;0,00;879,61;;;6,91;;;78.727.805,50;199,00;Ativa;89.503,00
VIFI11;8,44;0,070000;9,24;9,42;0,90;180.932,86;7,00;1,72;-55,53;76.189.087,85;6.572,00;Ativa;8.089.190,00
