TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
VRTA11;96,07;1,210000;14,69;96,28;1,00;2.532.203,13;2,95;14,72;-12,86;1.266.271.603,58;102.089,00;Ativa;13.152.584,00
HCHG11;81,50;0,875000;10,73;103,40;0,79;58.566,43;1,24;;;124.082.191,95;435,00;Ativa;1.200.000,00
BBFI11B;1.718,97;26,656695;19,00;2.865,87;0,60;384.304,65;6,84;2,51;-15,53;372.562.478,35;8.939,00;Passiva;130.000,00
CCRF11;90,17;0,740000;11,79;101,09;0,89;4.249,79;7,60;;;158.903.577,46;120,00;Ativa;1.571.900,00
FLCR11;100,05;1,750000;16,42;104,08;0,96;129.864,61;2,63;;;65.942.593,31;2.140,00;Ativa;633.604,00
AIEC11;75,68;0,800000;12,08;101,36;0,74;465.332,61;1,26;;;489.073.625,01;8.688,00;Ativa;4.824.987,00
RBRP11;58,72;0,450000;9,08;82,15;0,71;1.269.114,78;2,45;6,64;-10,65;1.000.575.637,38;90.862,00;Ativa;12.179.186,00
RBVA11;90,12;1,100000;12,29;102,97;0,88;740.249,00;1,28;0,06;-12,59;1.193.288.764,70;43.240,00;Ativa;11.588.199,00
MCHY11;110,00;1,400000;12,10;104,87;1,05;1.140.048,64;3,11;;;376.451.625,52;223,00;--;3.589.771,00
BLCP11;84,74;0,500000;6,75;111,62;0,76;658.553,28;1,59;;;256.307.281,92;280,00;Ativa;2.296.282,00
TCPF11;1,26;3,440000;692,86;152,41;0,01;;6,59;;;45.314.325,98;52,00;Ativa;297.327,00
BPFF11;63,41;0,800000;11,65;77,78;0,82;449.878,39;4,42;-5,13;-13,25;349.434.722,44;20.167,00;Ativa;4.492.326,00
BMLC11;96,74;0,740000;8,18;109,24;0,89;63.001,43;3,00;14,99;3,21;109.066.053,12;1.429,00;Ativa;998.405,00
DMAC11;13,00;4,894618;60,42;4,99;2,61;26.524,35;105,14;;-74,56;778.257,90;2.352,00;Passiva;156.108,00
BTSG11;0,00;0,780000;0,00;133,24;;;0,68;;;103.262.686,68;52,00;Ativa;775.015,00
HCST11;94,73;;0,00;100,83;0,94;126,33;0,07;;;31.431.681,53;77,00;Ativa;311.742,00
KNIP11;98,24;1,500000;16,88;97,55;1,01;15.650.268,61;4,56;29,10;-6,86;6.938.900.334,81;66.769,00;Ativa;71.134.764,00
MINT11;99,98;;0,00;118,38;0,84;4.199,50;8,18;;;61.557.565,57;69,00;Ativa;520.000,00
VTVI11;0,00;;0,00;38,29;;;12,00;;;68.194.372,13;1,00;Ativa;1.780.984,00
ARFI11B;479,99;;0,00;643,53;0,75;;0,43;;;73.397.773,78;28,00;Ativa;114.054,00
AQLL11;385,03;;0,00;993,80;0,39;;1,87;;;107.466.985,54;37,00;Ativa;108.136,00
CCME11;0,00;;0,00;100,34;;;56,34;;;50.171.937,59;1,00;Ativa;500.000,00
FOFT11;123,00;1,900000;0,00;110,21;1,12;;5,10;-47,71;8,84;131.819.480,59;3.846,00;Ativa;1.196.040,00
BLMG11;77,80;0,800000;13,15;94,71;0,83;602.528,65;0,76;;;360.918.215,84;8.920,00;Ativa;3.810.588,00
CJCT11;81,81;0,330000;0,00;64,83;1,26;89.814,72;2,11;;9,68;186.073.862,65;1.308,00;Passiva;2.870.000,00
SHDP11B;0,00;5,820282;0,00;1.371,90;;;2,31;-1,82;;2.013.664.327,87;3,00;Passiva;1.467.793,00
SPTW11;42,65;0,400000;13,76;52,91;0,81;182.833,70;5,75;-11,30;-21,60;95.135.287,54;25.475,00;Passiva;1.798.000,00
JSRE11;77,61;0,490000;8,00;113,63;0,68;3.474.669,48;0,11;1,04;-11,05;2.359.889.166,96;56.493,00;Ativa;20.767.328,00
MFII11;94,80;1,100000;14,93;102,48;0,92;309.069,70;28,41;4,70;-7,58;424.973.878,67;28.817,00;Ativa;4.146.900,00
VIFI11;6,97;0,060000;10,97;8,96;0,77;128.401,35;6,79;;;72.445.994,24;6.070,00;Ativa;8.089.190,00
BRLA11;150,00;1,055245;8,31;158,66;0,95;1.756.095,00;2,07;;;309.897.052,55;173,00;Passiva;1.953.213,00
KIVO11;99,29;1,650000;5,74;100,93;0,98;4.092,25;13,35;;;36.144.678,28;74,00;Ativa;358.100,00
JRDM11;77,40;0,360134;5,65;87,55;0,88;83.356,83;2,19;-10,31;-2,57;220.883.480,71;4.491,00;Passiva;2.522.968,00
AFOF11;90,31;1,079479;14,78;100,18;0,90;106.331,13;10,44;;;69.242.339,50;2.718,00;Ativa;691.192,00
CBOP11;59,93;1,030000;14,21;77,88;0,77;73.966,78;2,98;14,72;-6,32;110.193.615,85;3.865,00;Passiva;1.415.000,00
HREC11;95,06;1,400000;11,99;92,83;1,02;63.524,96;6,19;;;432.274.986,83;404,00;Ativa;4.656.688,00
CACR11;101,08;1,380000;16,32;103,64;0,97;292.025,87;22,05;;;156.931.955,28;4.339,00;Ativa;1.514.227,00
FCAS11;0,00;0,121915;0,00;60,79;;;186,17;;;80.684.223,04;2,00;Passiva;1.327.300,00
VSLH11;9,25;0,120000;16,05;10,37;0,89;732.338,61;1,84;;;309.775.483,06;66.281,00;Ativa;29.864.091,00
XPHT11;105,10;0,460000;0,87;94,05;1,12;459.947,40;1,00;;0,19;357.825.990,77;1.306,00;Ativa;3.804.642,00
XPHT12;33,00;;0,00;94,05;0,35;8.656,45;1,00;;-31,79;357.825.990,77;1.306,00;Ativa;3.804.642,00
QAGR11;46,19;0,400000;10,01;59,70;0,77;440.414,70;1,53;;;300.906.515,00;25.580,00;Ativa;5.040.000,00
QIRI11;71,27;0,710000;10,50;88,14;0,81;1.573,17;2,21;;;13.220.968,32;182,00;Ativa;150.000,00
DOVL11B;21,39;0,269377;44,45;1.238,86;0,02;;6,40;;;82.267.909,53;51,00;Ativa;66.406,00
KISU11;7,55;0,100000;10,68;9,00;0,84;1.109.505,65;5,64;;;397.684.224,87;63.140,00;Ativa;44.196.050,00
RCRI11B;1.200,00;12,481836;1,04;365,40;3,28;;70,80;;;18.639.596,10;149,00;Ativa;51.012,00
VTLT11;88,60;0,830000;10,71;102,70;0,86;458.280,74;2,47;1,26;-4,05;217.200.401,30;6.180,00;Ativa;2.115.000,00
VOTS11;89,89;1,230000;12,32;95,64;0,94;13.522,00;10,71;29,39;1,25;79.181.152,56;394,00;Ativa;827.913,00
HSRE11;99,99;0,560000;7,01;97,13;1,03;1.362.105,00;1,96;;;827.352.123,56;117,00;Ativa;8.518.064,00
RECR11;100,14;1,720500;15,02;95,25;1,05;5.846.721,39;8,68;17,35;-2,78;2.310.672.803,11;165.314,00;Ativa;24.258.940,00
