TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
BTLG11;99,50;0,720000;8,70;98,43;1,01;3.264.105,61;8,44;14,26;-2,14;1.646.697.527,84;170.256,00;Ativa;16.728.960,00
FISC11;165,00;0,220000;0,93;114,52;1,44;;0,18;;;194.682.613,92;67,00;Ativa;1.699.996,00
CTXT11;13,82;0,010000;0,07;40,57;0,33;4.075,74;4,74;-23,80;-39,52;117.762.540,94;3.399,00;Passiva;2.902.772,00
ANCR11B;3.500,00;40,151526;4,26;3.403,44;1,03;3.500,00;1,12;;;1.535.334.050,90;57,00;Ativa;451.113,00
ELDO11B;762,38;0,300000;11,18;1.343,80;0,57;;0,18;8,50;;1.057.910.698,76;61,00;Passiva;787.256,00
KNSC11;92,47;1,090000;15,70;89,43;1,03;3.860.512,70;10,20;;;1.187.259.742,46;63.527,00;Ativa;13.275.794,00
SAIC11B;35,00;0,662215;0,00;55,23;0,63;175,00;4,20;;-15,26;78.961.630,79;50,00;Passiva;1.429.740,00
YUFI11;0,00;0,204384;0,00;104,03;;;9,39;;;41.106.356,80;29,00;Ativa;395.150,00
BRCO11;98,61;0,770000;7,56;118,98;0,83;2.445.013,39;2,34;;;1.758.352.425,98;74.357,00;Ativa;14.778.781,00
BTCR11;96,20;1,250000;11,89;95,96;1,01;1.096.170,39;14,82;20,91;-1,89;461.585.794,18;13.377,00;Ativa;4.810.097,00
IDFI11;82,35;1,809889;16,30;81,28;1,01;4.394,65;11,53;;;167.269.549,65;107,00;Ativa;2.057.925,00
ORPD11;93,00;1,379310;0,00;150,38;0,62;402,75;0,00;;;43.611.089,33;38,00;Ativa;290.000,00
RCRB11;129,67;0,720000;6,89;195,06;0,66;580.977,22;0,97;-1,85;-9,30;719.897.351,60;29.988,00;Ativa;3.690.695,00
VGIR11;99,33;1,300000;11,07;96,42;1,03;2.429.275,70;0,81;13,32;-2,71;729.972.953,61;35.915,00;Ativa;7.570.766,00
PURB11;95,00;1,400000;8,47;80,52;1,18;199.975,00;21,21;;;32.682.411,62;1,00;Ativa;405.873,00
RBIR11;65,50;0,240000;0,37;96,25;0,68;85.366,82;9,07;;;147.125.529,42;1.355,00;Ativa;1.528.615,00
KEVE11;1.000,00;2,708174;1,16;982,44;1,02;56.588,09;1,35;;;145.107.453,86;402,00;Passiva;147.700,00
VCJR11;96,89;1,300000;15,90;94,47;1,02;1.411.600,65;10,24;;;1.390.944.337,65;10.351,00;Ativa;14.723.970,00
SARE11;69,60;0,700000;10,75;98,68;0,71;1.117.414,26;10,42;;;911.210.974,25;20.603,00;Ativa;9.234.329,00
HUSI11;1.070,00;;0,00;980,97;1,09;2.033,00;2,76;;;113.167.187,95;80,00;Ativa;115.362,00
VTPA11;0,00;;0,00;104,47;;;0,61;;;67.907.810,76;1,00;Ativa;650.000,00
BZEL11;0,00;;0,00;107,99;;;0,03;;;382.084.414,04;3,00;Ativa;3.538.046,00
RBRM11;94.794,81;8.156,661531;114,13;138.336,52;0,69;;7,82;;;74.563.385,12;54,00;--;539,00
JPPC11;140,01;0,170000;58,27;333,76;0,42;280,00;10,17;;;18.356.915,20;86,00;Ativa;55.000,00
MCCI11;97,22;1,100000;12,48;97,19;1,00;4.466.553,70;4,00;;;1.418.391.814,88;85.787,00;Ativa;14.594.149,00
XPML11;93,41;0,680000;7,94;99,31;0,94;3.473.600,57;1,09;5,22;-5,76;1.855.193.521,79;259.307,00;Ativa;18.681.577,00
FISD11;0,00;6,526269;0,00;83,28;;;0,00;;;89.327.355,71;23,00;Ativa;1.072.588,00
ATCR11;0,00;0,069099;0,00;78,12;;;0,58;;;72.566.996,88;33,00;Ativa;928.908,00
SCPF11;5,04;0,013700;4,63;12,49;0,40;3.774,43;2,39;-32,53;-22,71;52.451.827,63;4.504,00;Ativa;4.200.000,00
XPCM11;14,06;0,160000;14,90;53,47;0,27;73.197,26;3,40;-40,11;-47,64;129.112.080,33;29.102,00;Passiva;2.414.570,00
ATWN11;0,00;;0,00;576,35;;;0,00;;;92.653.014,65;2,00;Passiva;160.757,00
ARRI11;94,16;1,180000;16,29;93,76;1,00;325.828,65;12,31;;;110.581.482,20;7.968,00;Ativa;1.179.431,00
PRSN11B;0,94;0,003476;1,36;0,34;2,76;3.351,17;9,51;;;17.343.370,86;987,00;Ativa;51.699.979,00
BVAR11;0,00;8,000000;0,00;1.061,45;;;1,29;47,18;;663.979.855,51;69,00;Passiva;625.540,00
ABCP11;71,14;0,540000;8,99;91,79;0,78;116.065,83;1,75;2,66;-12,80;1.120.247.855,81;19.130,00;Passiva;12.203.832,00
LATR11B;16,00;14,503964;114,56;11,39;1,40;48,38;101,92;;;1.413.245,81;165,00;Ativa;124.104,00
NEWU11;31,58;0,110000;0,00;64,86;0,49;8.194,26;1,82;58,77;;48.127.462,03;1.786,00;Ativa;742.000,00
FAMB11B;790,00;9,160000;0,00;3.082,39;0,26;14.907,91;3,47;-9,82;-37,20;323.034.242,95;2.960,00;Passiva;104.800,00
VCRR11;70,94;0,670000;11,33;119,79;0,59;104.585,35;0,83;;;239.575.654,97;2.115,00;Ativa;2.000.000,00
HSLG11;82,70;0,650000;8,82;110,72;0,75;549.540,52;3,78;;;1.401.752.936,38;19.657,00;Ativa;12.660.067,00
RZAK11;96,70;1,800000;14,50;94,79;1,02;1.426.419,39;1,16;;;315.983.216,64;8.671,00;Ativa;3.333.553,00
