Date__(UT)__HR:MN, , , R.A._(ICRF), DEC_(ICRF),    APmag,  S-brt,             delta,     deldot,     S-O-T,/r,     S-T-O,  Sky_motion, Sky_mot_PA, RelVel-ANG, Lun_Sky_Brt  sky_SNR
 2022-Aug-10 00:00, , ,   197.71254,   22.32809,   17.171,   n.a.,  53.2146315155851, 19.8318785,   55.0966,/T,    0.9070,   0.0393099,  140.51555,  38.104531,        n.a.     n.a.
 2022-Aug-11 00:00, , ,   197.72347,   22.31594,   17.171,   n.a.,  53.2260046878833, 19.5516520,   54.3159,/T,    0.8982,   0.0397242,  139.85766,  37.412950,        n.a.     n.a.
 2022-Aug-12 00:00, , ,   197.73466,   22.30379,   17.171,   n.a.,  53.2372146398549, 19.2666539,   53.5387,/T,    0.8893,   0.0401351,  139.21323,  36.718839,        n.a.     n.a.
 2022-Aug-13 00:00, , ,   197.74612,   22.29162,   17.170,   n.a.,  53.2482585978955, 18.9768128,   52.7650,/T,    0.8802,   0.0405426,  138.58149,  36.022022,        n.a.     n.a.
 2022-Aug-14 00:00, , ,   197.75783,   22.27945,   17.170,   n.a.,  53.2591337331115, 18.6820140,   51.9950,/T,    0.8711,   0.0409466,  137.96172,  35.322326,        n.a.     n.a.
 2022-Aug-15 00:00, , ,   197.76980,   22.26728,   17.169,   n.a.,  53.2698371457437, 18.3821323,   51.2290,/T,    0.8618,   0.0413468,  137.35329,  34.619624,        n.a.     n.a.
 2022-Aug-16 00:00, , ,   197.78202,   22.25511,   17.169,   n.a.,  53.2803658680209, 18.0770612,   50.4671,/T,    0.8525,   0.0417430,  136.75562,  33.913862,        n.a.     n.a.
 2022-Aug-17 00:00, , ,   197.79450,   22.24294,   17.168,   n.a.,  53.2907168803432, 17.7667294,   49.7095,/T,    0.8430,   0.0421347,  136.16824,  33.205053,        n.a.     n.a.
 2022-Aug-18 00:00, , ,   197.80722,   22.23078,   17.167,   n.a.,  53.3008871334203, 17.4511053,   48.9565,/T,    0.8334,   0.0425217,  135.59071,  32.493268,        n.a.     n.a.
 2022-Aug-19 00:00, , ,   197.82020,   22.21862,   17.167,   n.a.,  53.3108735702067, 17.1301926,   48.2082,/T,    0.8238,   0.0429036,  135.02267,  31.778613,        n.a.     n.a.
 2022-Aug-20 00:00, , ,   197.83341,   22.20648,   17.166,   n.a.,  53.3206731442164, 16.8040228,   47.4649,/T,    0.8141,   0.0432799,  134.46376,  31.061214,        n.a.     n.a.
 2022-Aug-21 00:00, , ,   197.84686,   22.19436,   17.166,   n.a.,  53.3302828333088, 16.4726474,   46.7269,/T,    0.8043,   0.0436504,  133.91363,  30.341206,        n.a.     n.a.
 2022-Aug-22 00:00, , ,   197.86056,   22.18225,   17.165,   n.a.,  53.3396996496067, 16.1361329,   45.9945,/T,    0.7944,   0.0440147,  133.37197,  29.618724,        n.a.     n.a.
 2022-Aug-23 00:00, , ,   197.87449,   22.17016,   17.164,   n.a.,  53.3489206468945, 15.7945569,   45.2680,/T,    0.7845,   0.0443725,  132.83846,  28.893906,        n.a.     n.a.
 2022-Aug-24 00:00, , ,   197.88864,   22.15809,   17.164,   n.a.,  53.3579429269576, 15.4480079,   44.5476,/T,    0.7746,   0.0447236,  132.31280,  28.166890,        n.a.     n.a.
 2022-Aug-25 00:00, , ,   197.90303,   22.14606,   17.163,   n.a.,  53.3667636461425, 15.0965868,   43.8338,/T,    0.7646,   0.0450675,  131.79471,  27.437824,        n.a.     n.a.
 2022-Aug-26 00:00, , ,   197.91764,   22.13405,   17.162,   n.a.,  53.3753800230692, 14.7404088,   43.1268,/T,    0.7546,   0.0454039,  131.28391,  26.706864,        n.a.     n.a.
 2022-Aug-27 00:00, , ,   197.93248,   22.12207,   17.161,   n.a.,  53.3837893479850, 14.3796072,   42.4271,/T,    0.7446,   0.0457327,  130.78014,  25.974182,        n.a.     n.a.
 2022-Aug-28 00:00, , ,   197.94753,   22.11013,   17.161,   n.a.,  53.3919889937393, 14.0143352,   41.7351,/T,    0.7346,   0.0460535,  130.28317,  25.239968,        n.a.     n.a.
 2022-Aug-29 00:00, , ,   197.96279,   22.09823,   17.160,   n.a.,  53.3999764278577, 13.6447674,   41.0512,/T,    0.7246,   0.0463660,  129.79278,  24.504426,        n.a.     n.a.
 2022-Aug-30 00:00, , ,   197.97827,   22.08638,   17.159,   n.a.,  53.4077492247866, 13.2710992,   40.3758,/T,    0.7146,   0.0466701,  129.30877,  23.767774,        n.a.     n.a.
 2022-Aug-31 00:00, , ,   197.99395,   22.07456,   17.158,   n.a.,  53.4153050771822, 12.8935440,   39.7094,/T,    0.7046,   0.0469654,  128.83092,  23.030238,        n.a.     n.a.
