iter	Logloss
0	0.6115470268
1	0.5475154957
2	0.4906769615
3	0.443279085
4	0.4015934712
5	0.3665112641
6	0.3354281856
7	0.3067131252
8	0.2806549836
9	0.2573478415
10	0.2378594361
11	0.2196605999
12	0.2036971443
13	0.1901391058
14	0.1781234127
15	0.1675841602
16	0.1565541825
17	0.1474154824
18	0.1385428324
19	0.1315361742
20	0.1243848453
21	0.1176859386
22	0.1114026159
23	0.1058062931
24	0.1015730796
25	0.0978416961
26	0.0929545877
27	0.08899852909
28	0.08517212891
29	0.08168744358
30	0.07827998817
31	0.07515391566
32	0.07251446932
33	0.07005395744
34	0.06800308347
35	0.06599974343
36	0.06413750731
37	0.06210243997
38	0.06055029243
39	0.05916065275
40	0.05763420271
41	0.0559982456
42	0.05483356784
43	0.05327076003
44	0.0522564483
45	0.05085389476
46	0.05006542898
47	0.04936464414
48	0.04819174073
49	0.04734184695
50	0.04642883058
51	0.045576576
52	0.04499202166
53	0.0442336851
54	0.04377431063
55	0.04281661938
56	0.04232482886
57	0.04171665693
58	0.04073154285
59	0.04003684806
60	0.03922533579
61	0.03866884927
62	0.03845091449
63	0.03787043492
64	0.03742365612
65	0.03698347769
66	0.03664402718
67	0.03633799915
68	0.03607094015
69	0.03545368975
70	0.03516589695
71	0.03456729439
72	0.03422065395
73	0.03391609123
74	0.03357703825
75	0.03322801
76	0.03297618152
77	0.03277544298
78	0.03248510086
79	0.03196466244
80	0.03158532486
81	0.03120720989
82	0.03099045003
83	0.03066733141
84	0.03020042772
85	0.02984458892
86	0.02964889317
87	0.02933089006
88	0.02888828852
89	0.02857233052
90	0.02828371508
91	0.02799345255
92	0.02775177852
93	0.02751000628
94	0.02717534758
95	0.02689525432
96	0.0266902671
97	0.02636437543
98	0.02595421817
99	0.02580802679
